CNNA HL-1,123,300000,0.03,300000
Youngman-Baynes High Lift,1,300000,0.0,""
Fokker M.7,20,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
SABCA S.2,1,300000,0.0,300000
Pander D,10,450,0.0,£450<ref name=Flight24/>
FVA-3 Ente,1,300000,0.0,300000
VEF I-15,2,300000,0.0,300000
Schleicher ASK 18,56,300000,0.01,300000
Kellett XR-8,2,300000,0.0,300000
Jurca Tempête,60,300000,0.01,300000
Hughes OH-6 Cayuse,1420,19860,0.02,"US$19,860 (1966)<ref name=""Holley_1997"">Holley and Sloniker 1997, p. 8.</ref><ref group=note>Holley and Sloniker state that Hughes underbid the competition to buy into the contract.</ref>"
Vought V-141,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Daimler L11,1,300000,0.0,300000
Messerschmitt Me 209,4,300000,0.0,""
Sikorsky MH-53,72,40000000,2.88,MH-53J: US$40 million (2001)<ref name=USAF_fact_sht/>
Ellison-Mahon Gweduck,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Piper PA-34 Seneca,5000,799000,3.99,"[[United States Dollar|USD]]$799,000 (2009 base price)<ref name=""bcair""/>"
Ruhrtaler Ru.3,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
McDonnell XHJH Whirlaway,1,300000,0.0,300000
Aichi F1A,2,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Akaflieg Stuttgart FS-28 Avispa,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Storm 320E,70,19420,0.0,"US$19,420 (kit, 1998)"
Mauboussin M.120,116,300000,0.03,300000
US Aviation Cumulus,5,7995,0.0,"[[US$]]7,995 (without engine or instruments, 2011)"
Yakovlev Yak-53,1,300000,0.0,300000
Bennett BTC-1,1,300000,0.0,300000
Blériot-SPAD S.61,350,300000,0.1,300000
Armstrong Whitworth Wolf,6,300000,0.0,300000
Albatros L 84,5,300000,0.0,300000
Kawanishi K-11,2,300000,0.0,""
Bombardier CRJ200,1021,39700000,40.53,US$24-39.7 million (2006)
Sopwith 1919 Schneider Cup Seaplane,1,300000,0.0,300000
Lioré et Olivier LeO 7,39,300000,0.01,300000
Hiro H2H,17,300000,0.0,300000
General Atomics MQ-1C Gray Eagle,75,31200000,2.34,US$21.5M (FY2013)<ref name=GAO-13-294SP /> <br/>US$31.2M (inc. R&D)<ref name=GAO-13-294SP />
LFG V 60,4,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
McDonnell Douglas MD 500 Defender,471,300000,0.14,""
Bell 201,1,300000,0.0,""
Max Holste MH.52,13,300000,0.0,300000
Starck AS-27 Starcky,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Koolhoven F.K.54,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Bernard H.V.220,1,300000,0.0,300000
Saro P.531,6,300000,0.0,300000
CAB Supercab,7,300000,0.0,300000
Avia BH-9,11,300000,0.0,300000
Junkers Ju 60,2,300000,0.0,300000
Grumman S-2 Tracker,1284,300000,0.38,""
Blackburn Second Monoplane,1,300000,0.0,300000
Tupolev Tu-85,2,300000,0.0,300000
Convair XF-92,1,4300000,0.0,"{{US$|link=yes}}4.3 million for the program<ref name=""knaack"">Knaack 1978, pp. 322–323.</ref>"
Allied Aviation XLRA,2,300000,0.0,300000
Progressive Aerodyne SeaRey,480,32900,0.01,"Kit US$32,900 (kit, 2011)<ref name=""WDLA11"" />"
Blériot 135,1,300000,0.0,300000
Fairchild 100,27,300000,0.0,300000
Chester Swee' Pea,3,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Matra-Cantinieau MC-101,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Cornelius Mallard,1,300000,0.0,300000
Aquila A 210,120,127300,0.01,"€127,300 (2010) ex-tax"
Fisher Celebrity,55,300000,0.01,300000
CANT 26,7,300000,0.0,""
Cierva C.3,1,300000,0.0,300000
Mylius My-103 Mistral,4,300000,0.0,300000
IFIL-Reghin RG-6,3,300000,0.0,300000
Promavia Jet Squalus,1,300000,0.0,300000
Aeronca 11 Chief,2300,300000,0.69,""
CTA Convertiplano,0,300000,0.0,300000
Farman F.370,1,300000,0.0,300000
Piper PA-18,15000,300000,4.5,""
Fairey F.2,1,300000,0.0,300000
Midwest Questar Arrowstar,60,30,0.0,"[[US$]]30.00 (plans only, 1998)"
Heinkel HE 2,5,300000,0.0,300000
Lockheed Altair,11,300000,0.0,300000
Albatros C.II,1,300000,0.0,300000
Klemm Kl 35,2000,17500,0.03,"[[German Reichsmark|RM]]17,500"
Werkspoor Jumbo,1,300000,0.0,300000
Polikarpov TB-2,1,300000,0.0,300000
ANBO V,15,300000,0.0,300000
Rans S-7 Courier,600,25500,0.01,"[[United States dollar|US$]]25,500 (base price 2010) S model, plus engine and instruments<ref name=""Price"">{{Cite web|url = http://www.rans.com/_KITS/ModelsPages/S-7SoptionsPricing.htm|title = S-7 Courier Options and Pricing|accessdate = 21 November 2010|last = Rans|authorlink = |year = n.d.}}</ref>"
Larson F-12 Baby,1,300000,0.0,<!--Incremental or flyaway cost for military or retail price for commercial aircraft-->
Bartlett Zephyr,4,300000,0.0,300000
BFW M.22,1,300000,0.0,300000
DFS 332,2,300000,0.0,300000
Antonov An-10,104,300000,0.03,""
